"FullName","Length","LastWriteTime"
"C:\Users\23902\ultimateDESIGN\.idea\misc.xml","318","2026/3/19 10:06:16"
"C:\Users\23902\ultimateDESIGN\.idea\modules.xml","287","2026/3/19 10:05:46"
"C:\Users\23902\ultimateDESIGN\.idea\ultimateDESIGN.iml","413","2026/3/19 10:05:46"
"C:\Users\23902\ultimateDESIGN\.idea\workspace.xml","5452","2026/4/7 13:34:03"
"C:\Users\23902\ultimateDESIGN\.idea\inspectionProfiles\profiles_settings.xml","174","2026/3/19 10:05:46"
"C:\Users\23902\ultimateDESIGN\.streamlit\config.toml","36","2026/4/20 19:37:29"
"C:\Users\23902\ultimateDESIGN\.venv\.gitignore","42","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\CACHEDIR.TAG","197","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\pyvenv.cfg","410","2026/3/19 10:05:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip-25.1.1.virtualenv","0","2026/3/19 10:05:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\_virtualenv.pth","18","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\_virtualenv.py","4546","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\py.typed","286","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\__init__.py","357","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\__main__.py","854","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\__pip-runner__.py","1450","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\build_env.py","10924","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cache.py","10368","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\configuration.py","14005","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\exceptions.py","28464","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\main.py","340","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\pyproject.py","7286","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py","8318","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\wheel_builder.py","11212","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\__init__.py","513","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py","6864","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\base_command.py","8351","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py","31909","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\command_context.py","774","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\index_command.py","5720","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\main.py","2816","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py","4337","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\parser.py","10825","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py","4435","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\req_command.py","12934","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\spinners.py","5118","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py","116","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__init__.py","131","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\autocompletion.cpython-314.pyc","9915","2026/4/14 18:40:37"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\base_command.cpython-314.pyc","12342","2026/4/14 18:40:37"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\cmdoptions.cpython-314.pyc","41250","2026/4/14 18:40:38"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\command_context.cpython-314.pyc","2435","2026/4/14 18:40:38"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\index_command.cpython-314.pyc","8764","2026/4/14 18:40:38"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\main.cpython-314.pyc","2501","2026/4/14 18:40:38"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\main_parser.cpython-314.pyc","5566","2026/4/14 18:40:38"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\parser.cpython-314.pyc","18336","2026/4/14 18:40:39"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\progress_bars.cpython-314.pyc","7225","2026/4/14 18:40:39"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\req_command.cpython-314.pyc","14855","2026/4/14 18:40:39"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\spinners.cpython-314.pyc","10703","2026/4/14 18:40:39"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\status_codes.cpython-314.pyc","342","2026/4/14 18:40:39"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\cli\__pycache__\__init__.cpython-314.pyc","267","2026/4/14 18:40:40"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\cache.py","8107","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\check.py","2268","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\completion.py","4554","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\configuration.py","9766","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\debug.py","6797","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\download.py","5273","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\freeze.py","3144","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\hash.py","1703","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\help.py","1132","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\index.py","5068","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\inspect.py","3189","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\install.py","29757","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\list.py","13274","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\lock.py","5941","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\search.py","5784","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\show.py","8028","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py","3892","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\wheel.py","6346","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__init__.py","4009","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\cache.cpython-314.pyc","12230","2026/4/14 18:40:40"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\check.cpython-314.pyc","2949","2026/4/14 18:40:40"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\completion.cpython-314.pyc","5930","2026/4/14 18:40:40"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\configuration.cpython-314.pyc","15923","2026/4/14 18:40:41"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\debug.cpython-314.pyc","12120","2026/4/14 18:40:41"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\download.cpython-314.pyc","7953","2026/4/14 18:40:41"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\freeze.cpython-314.pyc","5091","2026/4/14 18:40:41"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\hash.cpython-314.pyc","3559","2026/4/14 18:40:41"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\help.cpython-314.pyc","1976","2026/4/14 18:40:42"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\index.cpython-314.pyc","7882","2026/4/14 18:40:42"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\inspect.cpython-314.pyc","4617","2026/4/14 18:40:42"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\install.cpython-314.pyc","32228","2026/4/14 18:40:42"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\list.cpython-314.pyc","19825","2026/4/14 18:40:42"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\lock.cpython-314.pyc","8450","2026/4/14 18:40:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\search.cpython-314.pyc","9758","2026/4/14 18:40:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\show.cpython-314.pyc","13058","2026/4/14 18:40:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\uninstall.cpython-314.pyc","5190","2026/4/14 18:40:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\wheel.cpython-314.pyc","9318","2026/4/14 18:40:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\__init__.cpython-314.pyc","4708","2026/4/14 18:40:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\base.py","1783","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\installed.py","842","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py","6751","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py","1317","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py","858","2026/3/19 10:05:43"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__\base.cpython-314.pyc","3544","2026/4/14 18:40:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__\installed.cpython-314.pyc","2259","2026/4/14 18:40:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__\sdist.cpython-314.pyc","10274","2026/4/14 18:40:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__\wheel.cpython-314.pyc","2856","2026/4/14 18:40:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__\__init__.cpython-314.pyc","1118","2026/4/14 18:40:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\collector.py","16265","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\package_finder.py","38446","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\sources.py","8632","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\__init__.py","29","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\__pycache__\collector.cpython-314.pyc","26922","2026/4/14 18:40:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\__pycache__\package_finder.cpython-314.pyc","48578","2026/4/14 18:40:45"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\__pycache__\sources.cpython-314.pyc","16837","2026/4/14 18:40:46"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\index\__pycache__\__init__.cpython-314.pyc","221","2026/4/14 18:40:46"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\base.py","2556","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py","6013","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py","7724","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\__init__.py","14309","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\__pycache__\base.cpython-314.pyc","4606","2026/4/14 18:40:46"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\__pycache__\_distutils.cpython-314.pyc","7931","2026/4/14 18:40:46"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\__pycache__\_sysconfig.cpython-314.pyc","9370","2026/4/14 18:40:47"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\locations\__pycache__\__init__.cpython-314.pyc","19763","2026/4/14 18:40:47"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\base.py","25467","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py","10542","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\_json.py","2707","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py","5723","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py","2796","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py","8279","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py","5297","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py","135","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__\_compat.cpython-314.pyc","5747","2026/4/14 18:40:48"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__\_dists.cpython-314.pyc","16716","2026/4/14 18:40:48"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__\_envs.cpython-314.pyc","9871","2026/4/14 18:40:48"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__\__init__.cpython-314.pyc","350","2026/4/14 18:40:49"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__\base.cpython-314.pyc","43907","2026/4/14 18:40:47"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__\pkg_resources.cpython-314.pyc","21487","2026/4/14 18:40:47"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__\_json.cpython-314.pyc","3499","2026/4/14 18:40:47"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__\__init__.cpython-314.pyc","8082","2026/4/14 18:40:48"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\candidate.py","753","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\direct_url.py","6576","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\format_control.py","2486","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\index.py","1030","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\installation_report.py","2818","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\link.py","21511","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\pylock.py","6196","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\scheme.py","575","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\search_scope.py","4531","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py","2015","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\target_python.py","4271","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\wheel.py","5506","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__init__.py","62","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\candidate.cpython-314.pyc","2223","2026/4/14 18:40:49"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\direct_url.cpython-314.pyc","15154","2026/4/14 18:40:49"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\format_control.cpython-314.pyc","5421","2026/4/14 18:40:49"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\index.cpython-314.pyc","2133","2026/4/14 18:40:50"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\installation_report.cpython-314.pyc","2966","2026/4/14 18:40:50"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\link.cpython-314.pyc","35070","2026/4/14 18:40:50"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\pylock.cpython-314.pyc","10705","2026/4/14 18:40:50"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\scheme.cpython-314.pyc","1308","2026/4/14 18:40:51"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\search_scope.cpython-314.pyc","6068","2026/4/14 18:40:51"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\selection_prefs.cpython-314.pyc","2054","2026/4/14 18:40:51"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\target_python.cpython-314.pyc","5578","2026/4/14 18:40:51"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\wheel.cpython-314.pyc","8515","2026/4/14 18:40:51"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\models\__pycache__\__init__.cpython-314.pyc","255","2026/4/14 18:40:52"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\auth.py","20809","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\cache.py","4613","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\download.py","11078","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py","7622","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\session.py","18771","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\utils.py","4088","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py","1837","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__init__.py","49","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\auth.cpython-314.pyc","27716","2026/4/14 18:40:52"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\cache.cpython-314.pyc","9062","2026/4/14 18:40:52"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\download.cpython-314.pyc","15713","2026/4/14 18:40:52"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\lazy_wheel.cpython-314.pyc","14696","2026/4/14 18:40:53"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\session.cpython-314.pyc","22700","2026/4/14 18:40:53"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\utils.cpython-314.pyc","2866","2026/4/14 18:40:53"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\xmlrpc.cpython-314.pyc","3413","2026/4/14 18:40:54"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\network\__pycache__\__init__.cpython-314.pyc","243","2026/4/14 18:40:54"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\check.py","5911","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\freeze.py","9843","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\prepare.py","28363","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\__init__.py","0","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py","4774","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py","1421","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py","1509","2026/3/19 10:05:44"
"C:\Users\23902\ultimateDESIGN\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py","2189","2026/3/19 10:05:44"
