ID,GVI,SVF,Enclosure,Clutter,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
1261,15.65,24.64,67.22,7.57,0.17,0.06,42.92,8.65,6.95,0.46,0.0,0.16,15.65,0.0,24.64,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
1266,29.84,38.63,54.48,2.12,0.92,1.09,21.22,3.41,1.31,0.34,0.02,0.45,29.84,0.0,38.63,0.07,0.0,0.09,0.22,0.37,1.96,0.0,0.05
1270,23.66,59.09,36.61,1.94,0.4,0.61,12.4,0.55,1.5,0.21,0.0,0.23,23.66,0.15,59.09,0.03,0.01,1.08,0.0,0.0,0.0,0.03,0.05
128,13.71,27.1,69.67,1.57,0.16,0.27,55.9,0.06,0.63,0.6,0.02,0.32,13.71,0.0,27.1,0.15,0.0,1.0,0.04,0.0,0.0,0.0,0.04
1284,7.93,27.2,65.87,1.23,0.31,0.12,56.74,1.2,0.68,0.43,0.01,0.11,7.93,0.0,27.2,0.32,0.01,0.48,0.94,0.15,3.12,0.03,0.23
1288,0.08,27.01,67.82,1.04,0.06,0.03,67.74,0.0,0.37,0.23,0.0,0.44,0.08,0.0,27.01,0.03,0.0,3.03,0.86,0.0,0.0,0.0,0.1
1293,0.18,30.93,65.46,1.4,0.34,0.05,60.82,4.45,0.22,1.01,0.0,0.17,0.18,0.0,30.93,0.11,0.0,0.73,0.57,0.29,0.11,0.0,0.0
1295,24.63,17.82,72.92,6.85,0.22,0.02,39.31,8.98,6.05,0.5,0.02,0.28,24.63,0.0,17.82,0.15,0.0,0.63,0.0,1.08,0.32,0.0,0.0
13,46.01,21.56,74.17,0.8,1.17,1.63,28.12,0.04,0.1,0.41,0.0,0.29,46.01,0.01,21.56,0.2,0.0,0.34,0.0,0.0,0.08,0.01,0.03
130,22.12,18.44,78.51,1.34,0.41,0.08,56.18,0.22,0.4,0.44,0.0,0.5,22.12,0.0,18.44,0.6,0.0,0.34,0.0,0.0,0.07,0.09,0.1
1305,23.66,59.09,36.61,1.94,0.4,0.61,12.4,0.55,1.5,0.21,0.0,0.23,23.66,0.15,59.09,0.03,0.01,1.08,0.0,0.0,0.0,0.03,0.05
1309,13.57,57.35,38.89,2.67,0.2,0.08,23.62,1.7,2.23,0.17,0.0,0.27,13.57,0.02,57.35,0.01,0.0,0.65,0.06,0.0,0.0,0.03,0.02
1311,21.35,31.29,62.8,4.96,0.62,0.03,40.34,1.11,4.05,0.56,0.01,0.34,21.35,0.03,31.29,0.02,0.0,0.19,0.01,0.0,0.05,0.0,0.0
1313,1.89,66.14,29.1,2.85,0.34,0.15,26.12,1.08,1.85,0.76,0.01,0.23,1.89,0.0,66.14,0.04,0.0,0.35,0.06,0.44,0.5,0.0,0.04
1315,1.66,64.65,29.24,3.15,0.81,0.11,27.05,0.52,1.39,1.31,0.0,0.45,1.66,0.0,64.65,0.11,0.0,0.18,0.03,0.0,1.71,0.0,0.0
1317,0.02,55.04,39.45,3.7,0.84,0.5,37.67,1.76,3.1,0.38,0.0,0.22,0.02,0.0,55.04,0.03,0.0,0.4,0.0,0.01,0.0,0.0,0.03
1319,16.34,33.17,62.38,3.47,0.09,0.16,41.45,4.59,2.76,0.54,0.01,0.16,16.34,0.0,33.17,0.17,0.0,0.51,0.0,0.0,0.0,0.04,0.0
1323,1.17,14.64,80.54,2.57,0.64,0.86,69.59,9.78,1.08,1.32,0.0,0.16,1.17,0.0,14.64,0.12,0.0,0.45,0.0,0.01,0.0,0.02,0.16
1327,0.01,29.63,65.09,1.28,0.09,0.0,64.96,0.12,0.62,0.55,0.01,0.11,0.01,0.0,29.63,0.1,0.0,2.51,0.45,0.0,0.65,0.14,0.05
1334,25.12,17.97,70.91,2.76,0.09,0.0,37.25,8.53,2.28,0.18,0.0,0.3,25.12,0.0,17.97,0.06,0.0,7.46,0.0,0.0,0.73,0.0,0.03
1339,20.52,29.17,64.86,3.71,0.28,0.11,38.39,5.94,3.03,0.55,0.0,0.13,20.52,0.0,29.17,0.57,0.18,0.78,0.0,0.0,0.01,0.05,0.29
1344,13.57,57.35,38.89,2.67,0.2,0.08,23.62,1.7,2.23,0.17,0.0,0.27,13.57,0.02,57.35,0.01,0.0,0.65,0.06,0.0,0.0,0.03,0.02
135,0.01,16.9,80.71,1.28,0.01,0.03,80.7,0.0,0.83,0.03,0.02,0.4,0.01,0.0,16.9,0.01,0.0,0.29,0.0,0.61,0.16,0.0,0.0
1358,7.93,27.2,65.87,1.23,0.31,0.12,56.74,1.2,0.68,0.43,0.01,0.11,7.93,0.0,27.2,0.32,0.01,0.48,0.94,0.15,3.12,0.03,0.23
1362,1.53,30.8,66.48,1.03,0.26,0.43,62.24,2.71,0.36,0.55,0.02,0.1,1.53,0.0,30.8,0.17,0.05,0.6,0.0,0.01,0.04,0.0,0.15
1366,0.0,18.79,78.17,0.27,0.02,0.0,77.92,0.25,0.0,0.21,0.0,0.06,0.0,0.0,18.79,0.2,0.0,2.2,0.12,0.0,0.0,0.09,0.14
1368,0.68,12.91,83.89,1.1,0.08,0.07,72.61,10.6,0.45,0.5,0.0,0.15,0.68,0.0,12.91,0.14,0.0,1.79,0.0,0.0,0.0,0.0,0.02
1373,20.95,26.58,70.45,1.65,0.33,0.05,42.72,6.77,1.12,0.3,0.0,0.23,20.95,0.0,26.58,0.03,0.0,0.89,0.0,0.0,0.0,0.0,0.01
1378,23.96,38.36,50.49,7.8,0.54,0.17,24.89,1.64,6.49,0.98,0.0,0.33,23.96,1.2,38.36,0.06,0.01,1.11,0.09,0.0,0.0,0.0,0.17
1383,13.57,57.35,38.89,2.67,0.2,0.08,23.62,1.7,2.23,0.17,0.0,0.27,13.57,0.02,57.35,0.01,0.0,0.65,0.06,0.0,0.0,0.03,0.02
1387,19.09,42.26,49.57,3.13,0.97,0.21,29.11,1.37,2.27,0.79,0.02,0.05,19.09,0.0,42.26,0.58,0.0,0.31,0.24,2.29,0.42,0.0,0.0
1389,19.09,42.26,49.57,3.13,0.97,0.21,29.11,1.37,2.27,0.79,0.02,0.05,19.09,0.0,42.26,0.58,0.0,0.31,0.24,2.29,0.42,0.0,0.0
1391,0.0,60.59,30.1,7.42,0.85,0.45,27.91,2.19,4.43,0.71,0.17,2.11,0.0,0.0,60.59,0.0,0.03,0.43,0.0,0.08,0.0,0.03,0.0
1393,16.34,33.17,62.38,3.47,0.09,0.16,41.45,4.59,2.76,0.54,0.01,0.16,16.34,0.0,33.17,0.17,0.0,0.51,0.0,0.0,0.0,0.04,0.0
1397,6.89,24.35,64.99,4.68,1.02,0.65,55.61,2.49,3.73,0.11,0.0,0.84,6.89,0.0,24.35,2.57,0.23,0.47,0.8,0.01,0.05,0.07,0.11
140,0.47,48.61,46.5,3.09,0.94,0.14,44.65,1.38,2.42,0.44,0.01,0.23,0.47,0.0,48.61,0.07,0.0,0.22,0.24,0.04,0.0,0.0,0.15
1401,0.0,19.24,72.22,1.59,0.4,4.49,65.92,6.3,0.91,0.26,0.02,0.41,0.0,0.0,19.24,0.08,0.0,0.52,0.3,1.13,0.02,0.0,0.0
1407,25.91,18.77,77.6,1.18,0.28,0.23,45.84,5.85,0.36,0.39,0.0,0.42,25.91,0.0,18.77,0.04,0.0,1.79,0.0,0.0,0.0,0.0,0.12
141,0.5,3.88,80.73,1.78,10.4,1.17,74.0,6.23,1.07,0.17,0.02,0.51,0.5,0.0,3.88,0.2,0.01,1.37,0.27,0.0,0.0,0.0,0.19
1412,24.84,26.13,67.71,3.85,0.91,0.55,36.41,6.45,2.49,0.94,0.03,0.39,24.84,0.0,26.13,0.46,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1417,28.86,29.67,61.63,3.98,0.43,0.5,30.59,2.18,1.7,1.82,0.0,0.46,28.86,2.32,29.67,0.04,0.0,0.31,0.0,0.26,0.06,0.0,0.8
1432,0.1,45.76,49.5,2.98,0.08,0.6,48.32,1.08,2.39,0.15,0.0,0.44,0.1,0.0,45.76,0.25,0.0,0.35,0.01,0.0,0.11,0.35,0.0
1436,0.33,20.61,76.83,0.55,0.18,0.06,76.49,0.01,0.07,0.32,0.0,0.16,0.33,0.0,20.61,0.08,0.01,1.55,0.01,0.0,0.0,0.0,0.13
1440,0.08,15.92,81.09,0.34,0.21,0.04,81.02,0.0,0.06,0.08,0.0,0.19,0.08,0.0,15.92,0.38,0.0,1.89,0.0,0.0,0.0,0.09,0.04
1442,0.06,19.54,76.81,0.41,0.03,0.0,76.03,0.72,0.02,0.1,0.0,0.29,0.06,0.0,19.54,0.24,0.0,2.52,0.44,0.0,0.0,0.0,0.0
1446,12.68,33.14,62.88,2.96,0.34,0.15,44.37,5.83,2.21,0.44,0.01,0.31,12.68,0.0,33.14,0.04,0.0,0.44,0.0,0.0,0.0,0.01,0.04
1451,23.96,38.36,50.49,7.8,0.54,0.17,24.89,1.64,6.49,0.98,0.0,0.33,23.96,1.2,38.36,0.06,0.01,1.11,0.09,0.0,0.0,0.0,0.17
1456,20.56,46.75,44.51,6.91,1.16,0.13,22.15,1.81,5.62,1.02,0.02,0.25,20.56,0.08,46.75,0.09,0.0,0.06,0.0,0.0,0.02,0.0,0.29
1458,8.82,45.35,45.71,6.92,0.71,0.96,30.39,6.5,5.82,0.36,0.0,0.75,8.82,0.02,45.35,0.03,0.0,0.11,0.0,0.18,0.0,0.0,0.0
146,14.7,21.58,75.52,0.87,0.13,0.05,60.28,0.54,0.39,0.16,0.01,0.31,14.7,0.0,21.58,0.07,0.0,1.14,0.0,0.0,0.55,0.0,0.09
1460,8.48,62.91,30.71,4.99,0.71,0.42,20.43,1.8,4.08,0.64,0.0,0.28,8.48,0.0,62.91,0.0,0.0,0.12,0.03,0.0,0.0,0.09,0.02
1462,14.91,35.69,53.17,5.18,3.6,2.19,31.87,6.39,4.39,0.69,0.0,0.1,14.91,0.0,35.69,0.04,0.0,0.07,0.06,0.0,0.0,0.0,0.0
1464,9.4,37.13,55.88,3.52,0.87,1.15,40.02,6.47,2.93,0.45,0.0,0.14,9.4,0.0,37.13,0.44,0.0,0.96,0.05,0.0,0.0,0.0,0.0
1465,0.0,40.52,56.62,2.72,0.05,0.07,56.56,0.07,1.29,1.11,0.02,0.3,0.0,0.0,40.52,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
1467,4.05,12.37,80.22,2.04,0.86,0.83,75.11,1.06,1.46,0.35,0.0,0.23,4.05,0.0,12.37,0.08,0.07,2.57,0.0,0.76,0.0,0.0,0.19
1471,0.15,23.53,72.46,1.63,0.24,0.19,71.64,0.67,1.06,0.43,0.0,0.14,0.15,0.0,23.53,0.2,0.0,0.98,0.11,0.02,0.63,0.0,0.01
1475,0.96,17.74,75.24,4.02,1.62,0.12,68.07,6.21,3.63,0.04,0.0,0.35,0.96,0.0,17.74,0.03,0.01,0.51,0.45,0.05,0.03,0.13,0.03
1481,2.63,12.77,84.94,0.93,0.25,0.16,81.04,1.27,0.56,0.01,0.0,0.36,2.63,0.0,12.77,0.03,0.0,0.88,0.0,0.0,0.0,0.0,0.03
1485,24.84,26.13,67.71,3.85,0.91,0.55,36.41,6.45,2.49,0.94,0.03,0.39,24.84,0.0,26.13,0.46,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1490,27.11,26.99,62.56,8.58,0.3,0.21,34.82,0.63,7.65,0.51,0.0,0.41,27.11,1.21,26.99,0.03,0.0,0.03,0.0,0.03,0.04,0.0,0.02
1505,0.46,10.52,82.95,1.8,0.6,0.05,82.45,0.04,1.4,0.16,0.01,0.23,0.46,0.0,10.52,0.2,0.0,3.18,0.46,0.03,0.0,0.0,0.21
1509,0.24,29.69,66.72,1.29,0.26,0.03,66.05,0.43,0.89,0.29,0.01,0.1,0.24,0.0,29.69,0.1,0.0,1.43,0.44,0.0,0.0,0.04,0.0
151,17.84,37.83,56.25,4.65,0.4,0.15,36.62,1.79,4.32,0.05,0.01,0.27,17.84,0.0,37.83,0.05,0.0,0.44,0.0,0.0,0.0,0.06,0.16
1513,0.12,26.94,70.04,0.51,0.25,0.02,69.92,0.0,0.23,0.06,0.01,0.22,0.12,0.0,26.94,0.09,0.0,1.87,0.18,0.0,0.0,0.0,0.1
1515,0.17,36.91,55.54,1.94,0.45,0.21,53.97,1.4,1.39,0.45,0.0,0.11,0.17,0.0,36.91,0.09,0.0,1.3,3.24,0.03,0.3,0.0,0.01
1519,1.33,21.84,51.45,1.74,13.51,0.03,46.26,3.86,0.93,0.41,0.08,0.32,1.33,0.0,21.84,1.35,0.0,2.19,5.56,0.98,1.28,0.06,0.0
1523,11.46,34.36,54.28,6.1,1.08,0.5,27.37,15.46,5.37,0.66,0.0,0.07,11.46,0.0,34.36,0.29,0.01,1.48,1.88,0.01,0.01,0.0,0.0
1528,22.24,44.82,46.28,7.75,0.74,0.19,19.56,4.49,6.01,1.29,0.06,0.39,22.24,0.0,44.82,0.08,0.0,0.06,0.0,0.0,0.0,0.0,0.07
1530,11.24,52.14,40.34,4.6,1.7,0.52,26.35,2.75,4.01,0.36,0.0,0.23,11.24,0.04,52.14,0.03,0.0,0.31,0.16,0.11,0.0,0.06,0.0
1532,7.06,56.86,37.71,3.78,1.01,0.42,25.92,4.73,2.98,0.56,0.0,0.23,7.06,0.0,56.86,0.02,0.02,0.18,0.0,0.0,0.0,0.0,0.01
1534,13.58,57.45,36.61,4.31,1.01,0.34,18.46,4.56,2.94,1.12,0.0,0.24,13.58,0.03,57.45,0.0,0.01,0.15,0.0,0.0,0.0,0.08,0.01
1536,5.47,37.2,55.81,5.51,0.74,0.32,48.29,2.06,2.73,0.47,0.0,2.31,5.47,0.01,37.2,0.1,0.0,0.06,0.01,0.17,0.0,0.0,0.07
1537,0.0,33.61,63.07,3.22,0.0,0.0,63.06,0.0,2.62,0.43,0.0,0.17,0.0,0.0,33.61,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0
1539,3.98,26.98,64.19,2.96,1.6,3.08,57.73,2.49,2.28,0.34,0.01,0.34,3.98,0.3,26.98,0.06,0.0,0.53,0.0,0.09,0.11,0.0,0.09
1543,1.15,13.16,84.11,1.21,0.43,0.23,82.57,0.38,0.23,0.35,0.0,0.62,1.15,0.0,13.16,0.21,0.0,0.63,0.01,0.0,0.0,0.0,0.02
1547,0.29,19.68,76.1,1.42,0.5,0.14,75.82,0.0,0.61,0.36,0.0,0.45,0.29,0.0,19.68,0.16,0.0,1.4,0.33,0.05,0.18,0.0,0.04
1553,0.89,42.43,53.22,1.19,0.18,0.12,51.89,0.43,0.6,0.41,0.0,0.18,0.89,0.0,42.43,0.4,0.0,1.37,0.97,0.0,0.0,0.0,0.12
1557,5.45,22.69,71.39,2.18,1.35,0.21,54.33,11.61,1.75,0.28,0.01,0.15,5.45,0.0,22.69,0.0,0.0,1.12,0.01,0.87,0.17,0.0,0.01
